Statistical profiling result from isolate-0x55af5fde7000-v8.log, (395389 ticks, 21866 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      2    0.0%    0.0%  Stub: CallICTrampolineStub
      2    0.0%    0.0%  Stub: CallApiCallbackStub {3}
      2    0.0%    0.0%  Stub: BinaryOpWithAllocationSiteStub
      2    0.0%    0.0%  LazyCompile: ~wrapped /home/root/node_modules/hoek/lib/index.js:871:30
      2    0.0%    0.0%  LazyCompile: ~resume_ _stream_readable.js:734:17
      2    0.0%    0.0%  LazyCompile: ~resolve path.js:1152:28
      2    0.0%    0.0%  LazyCompile: ~removeListener events.js:316:28
      2    0.0%    0.0%  LazyCompile: ~nextTick internal/process/next_tick.js:140:20
      2    0.0%    0.0%  LazyCompile: ~module.exports.internals.Route /home/root/node_modules/hapi/lib/route.js:24:55
      2    0.0%    0.0%  LazyCompile: ~internals.transmit /home/root/node_modules/hapi/lib/transmit.js:141:31
      2    0.0%    0.0%  LazyCompile: ~internals.itemCallback /home/root/node_modules/podium/lib/index.js:295:35
      2    0.0%    0.0%  LazyCompile: ~internals.Topo._sort /home/root/node_modules/topo/lib/index.js:92:43
      2    0.0%    0.0%  LazyCompile: ~clone /home/root/node_modules/hapi/node_modules/joi/lib/types/any/index.js:99:10
      2    0.0%    0.0%  LazyCompile: ~clone /home/root/node_modules/hapi-auto-route/node_modules/joi/lib/types/any/index.js:93:10
      2    0.0%    0.0%  LazyCompile: ~_unrefTimer net.js:201:52
      2    0.0%    0.0%  LazyCompile: ~ReadableState _stream_readable.js:35:23
      2    0.0%    0.0%  LazyCompile: ~NativeModule.wrap bootstrap_node.js:463:31
      2    0.0%    0.0%  LazyCompile: *maybeReadMore _stream_readable.js:443:23
      2    0.0%    0.0%  LazyCompile: *finishMaybe _stream_writable.js:508:21
      2    0.0%    0.0%  LazyCompile: *checkInvalidHeaderChar _http_common.js:303:32
      2    0.0%    0.0%  LazyCompile: *_validate /home/root/node_modules/hapi/node_modules/joi/lib/types/any/index.js:474:14
      2    0.0%    0.0%  LazyCompile: *_addListener events.js:210:22
      2    0.0%    0.0%  LazyCompile: *Module.require module.js:494:36
      2    0.0%    0.0%  LazyCompile: *Module._load module.js:412:24
      2    0.0%    0.0%  LazyCompile: *Domain.exit domain.js:152:33
      2    0.0%    0.0%  Handler: used
      2    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 1db7469) {9}
      2    0.0%    0.0%  Handler: symbol("Symbol.replace" hash 13635fc) {2}
      2    0.0%    0.0%  Handler: read {9}
      2    0.0%    0.0%  Handler: read {3}
      2    0.0%    0.0%  Handler: read {10}
      2    0.0%    0.0%  Handler: read
      2    0.0%    0.0%  Handler: push
      2    0.0%    0.0%  Handler: path
      2    0.0%    0.0%  Handler: oncomplete
      2    0.0%    0.0%  Handler: compare {9}
      2    0.0%    0.0%  Handler: compare {5}
      2    0.0%    0.0%  Handler: compare {2}
      2    0.0%    0.0%  Handler: compare {1}
      2    0.0%    0.0%  Handler: compare {12}
      2    0.0%    0.0%  Handler: call {3}
      2    0.0%    0.0%  Handler: _read
      2    0.0%    0.0%  Handler: An IC handler from the snapshot {15}
      1    0.0%    0.0%  Stub: VectorKeyedStoreICStub
      1    0.0%    0.0%  Stub: ToNameStub
      1    0.0%    0.0%  Stub: ToBooleanICStub(Bool,Smi,SpecObject,String)
      1    0.0%    0.0%  Stub: StringAddStub_ConvertRight_NotTenured
      1    0.0%    0.0%  Stub: StoreTransitionStub {5}
      1    0.0%    0.0%  Stub: StoreTransitionStub {4}
      1    0.0%    0.0%  Stub: StoreTransitionStub {3}
      1    0.0%    0.0%  Stub: StoreFieldStub {9}
      1    0.0%    0.0%  Stub: StoreFieldStub {8}
      1    0.0%    0.0%  Stub: StoreFieldStub {10}
      1    0.0%    0.0%  Stub: RecordWriteStub {8}
      1    0.0%    0.0%  Stub: RecordWriteStub {7}
      1    0.0%    0.0%  Stub: RecordWriteStub {6}
      1    0.0%    0.0%  Stub: RecordWriteStub {5}
      1    0.0%    0.0%  Stub: RecordWriteStub {3}
      1    0.0%    0.0%  Stub: RecordWriteStub {25}
